Timestamp,Chat,Sender,Message
"2025-03-13 16:15:10","Рыбарь","Рыбарь","[Video] 📝Комментарий президента Белоруссии Александра Лукашенко журналистам в Кремле📝

🔻Основные высказывания:

▪️Январские выборы в Беларуси были голосованием по вопросу «мы с Россией или где-то там».

▪️Лукашенко заявил, что у американцев нет никакого плана по конфликту на Украине.

▪️Курская область будет окончательно освобождена в течение буквально нескольких дней.

▪️ Украина, скорее всего, не согласится на перемирие.

▪️Украинцам ничего не остается: американцы сказали «30 дней».

▪️«На Россию не нажмешь, поэтому в вопросе о прекращении огня США нажали на Украину».

▪️Путин будет разговаривать с посланцами Трампа насчёт перемирия на Украине в четверг — пятницу.

▪️Лукашенко не будет встречаться с американской делегацией, которая сегодня прибыла в Москву.

▪️Белоруссия пока не получила ракеты для «Орешника» от России, но уже изготавливает пусковые установки для него.
#Белоруссия #дайджест #Россия #США #Украина
⭐️@rybar 

💸Поддержать нас"
"2025-03-13 16:15:09","О ФИЗМАТАХ Санкт-Петербурга: физмат-лицеи городского набора - 239,30,ФТШ,АГ СПбГУ, Аничков лицей","О ФИЗМАТАХ Санкт-Петербурга: физмат-лицеи городского набора - 239,30,ФТШ,АГ СПбГУ, Аничков лицей","[Photo] 👍С 15 по 23 марта школьников 7—8-х классов приглашают на интенсив к финальному этапу олимпиады им. Эйлера по математике от Т-банка

Занятия проходят в дистанционном (онлайн) формате и абсолютно бесплатны.💪💪💪

Олимпиада имени Леонарда Эйлера — это как Всерос, только для ребят помладше — учеников 7—8-х классов. Финал уже в конце марта, и чтобы на него попасть, нужно пройти серьезный отбор или показать высокие результаты на других математических олимпиадах.

И как раз для подготовки мы организовали сборы, которые пройдут с 15 по 23 марта в онлайн-формате, а 22 марта в кампусе Центрального университета в Москве можно будет написать пробную олимпиаду.

Все занятия будут вести опытные преподаватели кружков и математических смен, а также члены жюри самой олимпиады.

Принять участие могут все желающие, ждем не только тех, кто хочет подготовиться, но и просто прокачать навыки решения задач и углубить знания в математике. Для участия нужно только зарегистрироваться: l.tbank.ru/sbory_math7-8"
"2025-03-13 16:04:26","Афиша Черногории ☮️ теперь вы знаете, куда пойти! Концерты, выставки, карнавалы в Черногории — openmonte.com","Афиша Черногории ☮️ теперь вы знаете, куда пойти! Концерты, выставки, карнавалы в Черногории — openmonte.com","[Photo] Вечер «Звуки американской поэзии» в Подгорице 

В пятницу, 21 марта в 20:00, в Подгорице пройдет литературная встреча The Sound of American Poetry ко Всемирному дню поэзии. 

💬 Встреча пройдет на английском и сербском языках 

📚 Стихи поэтов американского литературного канона прочтут актрисы и филологи. 

В программе поэзия: Генри Дэвида Торо, Уолта Уитмена, Эмили Дикинсон, Эдгара Аллана По, Стивена Крейна, Томаса Стернза Элиота, Эзры Паунда, Роберта Фроста, Уильяма Карлоса Уильямса, Хильды Дулитл, Лэнгстона Хьюза, Сильвии Плат, Элизабет Бишоп, Энн Секстон, Аллена Гинзберга, Майи Энджелоу, Чарльза Буковски, Чарльза Бернштейна, Луизы Глюк и Чарльза Симика.

🐾 Вход свободный! 

📍American Corner, Подгорица 

#встреча #стихи #подгорица #афишачерногории #черногория 

———
Афиша Черногории 
https://t.me/monteafisha 
Добавить анонс бесплатно: t.me/montecult"
"2025-03-13 16:04:06","Специалисты Черногория 🇲🇪","Игорь","🖐Доброго времени суток! 

Меня зовут Игорь и я предлагаю следующие услуги:

🗺 трансфер в любую точку Черногории, 
👶 есть универсальное детское автокресло (0+)
🐕 можно с домашними питомцами, 
🛫 трансфер от/до аэропортов,
🧭 трансфер к достопримечательностям и туристическим объектам, на концерты, фестивали и т. д. 
📦 помогу с переездом, 
🚚 перевозка среднегабаритных грузов,
🛍 поездки по магазинам и т. д.

Большой опыт вождения.
Авто – удобный и вместительный минивэн, 6 пассажирских мест, салон-трансформер. 
Пишите в л. с. 

#трансфер #перевозка #переезд #доставка"
"2025-03-13 16:03:41","влад кяуне","влад кяуне","1"
"2025-03-13 16:03:01","The Edinorog 🦄","The Edinorog 🦄","[Video] О мой питч — 229

Я, кстати, этой зимой впервые лет за 10 покатался на коньках. Правда, на озерных. Около 150 км накатал за несколько выездов. Так что озерные коньки очень рекомендую. Решил поделиться, раз тема сегодня такая. А вы делитесь вашим мнением о стартапе в комментах!

YouChip 

Что делают: YouChip делает системы активного трекинга спортсменов и сбора спорт-статистики и аналитики нового поколения с использованием ИИ. Добавляют до 60% к эффективности игроков и тренеров, в 3 раза сокращают ошибки при селекции, дают данные аналитикам, экономят деньги менеджменту и ускоряют принятия решений для всех членов спортивного клуба от тренера до спортивного директора. Уже привлекли ангельский раунд 12 млн рублей. В их датчиках играли Александр Овечкин, Илья Ковальчук, Артемий Панарин и другие звёзды спорта.

Презентация: ссылка (и onepager)

Сколько нужно денег: привлекают bridge-раунд на 22 млн рублей

Напоминаю, что теперь участники О мой питч получают грант на 400 000 рублей от Yandex Cloud Boost (условия гранта). Если вы тоже хотите грант, то все подробности есть по ссылке https://cloud.yandex.ru/cloud-boost

 👉 Аукцион на участие в О мой питч"
"2025-03-13 15:52:03","out of homeland","Daria K","Всем привет! Я сделала дата визуализацию жанров книг и сеть взаимосвязей между жанрами в конкретных произведениях

https://books.dariakoshkina.com/

Если вам проект понравится и окажется полезен, я буду рада если вы проголосуете за него на digital humanities awards (проект the bestselling books project)

http://dhawards.org/dhawards2024/voting/

Займёт 5 минут. Если вам нужен какой-то 5 минутный тест или голосование я также могу пройти его для вас)"
"2025-03-13 15:46:41","Рыбарь","Рыбарь","[Video] 📝Комментарий помощника президента России Юрия Ушакова российским СМИ📝

🔻Перемирие с т.н. Украиной:

▪️Россия не заинтересована во временном перемирии, она заинтересована в долгосрочном урегулировании конфликта.

▪️Ушаков назвал идею о временном перемирии на фоне наступления ВС РФ поспешным действием, не идущим на пользу долгосрочному миру.

▪️Ушаков считает предложение о временном 30-дневном перемирии на Украине уловкой и попыткой дать передышку украинским военным.

▪️Окончательное отношение России к идее временного перемирия сформулирует Владимир Путин.

🔻Отношения Россия — США:

▪️Между Россией и США идет «нормальный обмен мнениями, в спокойной манере».

▪️Американцы понимают, что о членстве Украины в НАТО не может идти речи в контексте мирного урегулирования.

▪️США определили посредника в переговорах с Россией — это не Стив Уиткофф.

▪️Уиткофф приехал в РФ для обсуждения не только украинского вопроса, но и двусторонних отношений РФ и США.
#дайджест #Россия #США #Украина
⭐️@rybar 

💸Поддержать нас"
"2025-03-13 15:44:39","влад кяуне","влад кяуне","йо"
"2025-03-13 15:43:28","влад кяуне","влад кяуне","пинг"
"2025-03-13 15:38:01","Волны","Волны","[Photo] Захватов Владимир 
«Ночной натюрморт» 1985"
"2025-03-13 15:37:03","Специалисты Черногория 🇲🇪","Юлия Емельянова","[Photo] МАНИКЮР В БУДВЕ

Привет! Меня зовут Юлия. Приглашаю Вас на маникюр с покрытием гель-лаком

Время работы 1.20-2 часа (в зависимости от дизайна)

Инструменты проходят все этапы стерилизации. Только одноразовые расходники

📍Будва, недалеко от автобусной станции

Запись и прайс по запросу в ЛС

Больше моих работ можно увидеть в instagram📲 nails_jullis

#маникюр #педикюр #гельлак #маникюрбудва #укреплениегелем"
"2025-03-13 15:21:01","СЕАНС","СЕАНС","[Photo] ‍«ЛУЧ» объявил о начале приема заявок. Организаторы киносмотра замыслили согреться энергией зари синематографа, воскресив атмосферу той поры, когда кино еще не успело разделиться на жанры и с упоением нащупывало возможности. Составители программы заявляют, что хотят найти «нетронутые кинематографические впечатления, блуждающие между еще незнакомыми определениями».

Принимаются фильмы любых жанров, направлений и хронометража. Предпочтение отдается работам, снятым специально для «Луча» или не показанным ранее на других фестивалях.

Первый показ пройдет 25 сентября в ДК Рассвет в Москве. Отправить заявку можно до 1 августа – https://clck.ru/3HRjTK
Подробности – https://t.me/luchmir/174"
"2025-03-13 15:19:03","влад кяуне","влад кяуне","n"
"2025-03-13 15:16:05","Telegram","Telegram","Login code: 70532. Do not give this code to anyone, even if they say they are from Telegram!

❗️This code can be used to log in to your Telegram account. We never ask it for anything else.

If you didn't request this code by trying to log in on another device, simply ignore this message."
"2025-03-13 15:12:00","Специалисты Черногория 🇲🇪","Dmitrij Didenko","[Photo] Здравствуйте всем, могу подобрать любые запчасти, на любое авто с доставкой в Черногорию 7-14 дней (доставка оплачивается отдельно, а также возможна установка и ремонт в городе Бар )
+380669364649 Дмитрий
Вайбер, телеграмм, ватсап."
"2025-03-13 15:07:03","О ФИЗМАТАХ Санкт-Петербурга: физмат-лицеи городского набора - 239,30,ФТШ,АГ СПбГУ, Аничков лицей","О ФИЗМАТАХ Санкт-Петербурга: физмат-лицеи городского набора - 239,30,ФТШ,АГ СПбГУ, Аничков лицей","[Photo] бесплатный урок цифрового рисунка в школе в CПб

Петербуржцы и гости города! 
Знаете ли Вы, что мы дарим Вам бесплатный полноценный урок рисования на графическом планшете!?
Что же такое наш бесплатный урок?
- Вы придете в нашу уютную, полностью оборудованную студию в самом центре города и целых 2-3 часа будете в индивидуальном порядке при поддержке внимательных преподавателей заниматься! Результат гарантирован!
- На выбор будет предложено целых 7 вариантов урока и каждый из вариантов адаптирован под любой уровень подготовки. Даже под нулевой!
- Дополнительно Вы сможете получить фидбэк по своим работам (если они имеются) и рекомендации от нашего педагогического состава для продолжения Вашей деятельности!
- При желании отведаете у нас вкусный чай и получите полноценную экскурсию по школе! 

Забронировать

#реклама 16+
digitalartclub.ru
О рекламодателе"
"2025-03-13 15:05:16","Рыбарь","Рыбарь","[Photo] 📝#Комикс от Рыбаря №41: Однажды нельзя было иначе📝

Бойцы ВС РФ – не только воины, но и люди, они – отцы, братья, сыновья, внуки. Большинство ждут дома семьи: дети, жены, родители… Родных и возможность мирной жизни для них военнослужащие защищают на линии боевого соприкосновения каждый день.

Редко, но бывает, что на СВО оказывается вся семья, сделав сознательный и окончательный вывод о такой необходимости: родные и двоюродные братья, отцы и сыновья, мужья и жены вместе выполняют воинский долг. Но что делать, когда семья вынужденно оказывается на передовой – потому что иного выбора попросту нет?

На такой вопрос пришлось искать ответ спецназовцу Исе Гаджиеву: вслед за своими друзьями он отправился защищать Родину на специальную военную операцию, а в это время в Дагестане у него родилась дочка, о которой он так мечтал. Однако вскоре стало ясно, что вся забота о девочке полностью ляжет на плечи отца, находящегося на фронте…

📎 Скачать комикс можно по ссылкам: RU | EN

⭐️ @rybar

💸 Поддержать нас"
"2025-03-13 14:58:25","Learning Experience Collective 🇺🇦 🏳️‍🌈","Åliks Belyakova","Когда роспотребнадзор решил долбануться и сказал, что на 10 жоп должно быть одно очко в сортире, мы всерьез обсуждали постройку 30-очкового монстра на Школе. К счастью, реализовывать не пришлось)"
"2025-03-13 14:56:30","Learning Experience Collective 🇺🇦 🏳️‍🌈","Антон Захаров","Строил не просто уличный туалет, а уличный туалет на роту солдат на военных сборах в универе! Правда повторять ту схему строительства не рекомендую, результат получился такой же как содержимое)"
"2025-03-13 14:54:51","Learning Experience Collective 🇺🇦 🏳️‍🌈","Татьяна Дорохова","Штош, ранняя регистрация за 2 года — 5% скидка 😄"
"2025-03-13 14:52:28","Learning Experience Collective 🇺🇦 🏳️‍🌈","Olesya Gilmutdinova","я в такой хочу приехать!!"
"2025-03-13 14:52:01","Специалисты Черногория 🇲🇪","PM","🇪🇺Услуги перегона машин из 🇲🇪 🇷🇸 🇪🇺  в РФ и обратно из РФ в ЧГ/Сербию/ЕС,  а также внутри ЕС. 

Consulting. Услуги перевозки/перегона авто/автострахование.

Договор на оказываемые, в том числе консалтинговые услуги.

Любая форма оплаты.

❗ По вопросам бронирования даты перегона/запросам писать в ЛС: @Universe1973                                    

#перегонавто  #черногория #сербия #перевозки  #ЕС #автостраховки"
"2025-03-13 14:45:36","влад кяуне","влад кяуне","как там кофе?"
"2025-03-13 14:34:25","better data community","М","Но надо быть готовым, что это будет профанация)"
"2025-03-13 14:33:39","Мама","Мама","да, ждём, передала"
"2025-03-13 14:32:56","better data community","М","La classique — детект вредоносного трафика. Это прям очень старая тема. Есть ещё смешная аббревиатура UEBA и фрод. Есть экзотика — анализ бинарей через графы."
"2025-03-13 14:29:41","Ширяев и Ширяев","Ширяев и Ширяев","Вопрос от подписчика:
Вы говорили, что существует система доказывания (подтверждения), что что-либо было сбито чем-либо. То есть самолет - ракетой или ракета - ракетой ПВО. Вы не могли бы рассказать, почему мы не знаем подтвержденных фактов уничтожения гиперзвуковых ракет?

Когда ПВО сбивает ракету, расчет обычно определяет ее тип по характерным деталям - траектория, скорость, высота, маневрирование, применение средств противодействия и так далее. Это данные радара ПВО, а не фотография. Но военным и не нужны визуальные доказательства - им нужна статистика для внутреннего употребления, анализа, выработки тактики.

Редко ракету сбивают одной противоракетой, обычно их для надежности запускают две на одну цель. То, что цель уничтожена показывает тот же самый радар. Иногда обломки упавшей ракеты находят случайные свидетели, например, местные жители. Но самим военным и конструкторам она может пригодится только для изучения устройства, а не доказательств результата.

В действительности современную гиперзвуковую ракету система Patriot при удачном стечении обстоятельств, то есть неквалифицированном использовании оружия российским командованием, сбить может. Такие теоретические расчеты есть, с ними никто не спорит. Но это вопрос именно большой удачи - Patriot вовсе и не создавали для борьбы с такими ракетами, когда приступали к испытаниям в далеком 1976 году.

Другое дело - политическая и экономическая конкуренция. Сбитая ракета всегда упоминается как доказательство слабости оружия противника. Она очень плохо влияет на продажи такого оружия на международных рынках.

Между производителями идет настоящая медийная война, часто методами «черного пиара» - каждый стремится доказать, что ракету конкурента покупать не стоит. Все чиновники и военные противоборствующих сторон как могут подыгрывают своим ракетчикам или системам ПВО. Тут никаких правил нет, одна пропаганда. Поэтому главным доказательством тут может стать исключительно корпус сбитой ракеты с характерной конструкцией, маркировкой и следами попадания ракеты ПВО/ПРО. 

Самые современные, эффективные и дорогие российские ракеты на СВО - гиперзвуковые «Кинжал» и «Искандер». Год назад ВВС ВСУ объявили в печати, что с начала конфликта ВС РФ запустили 63 «Кинжала» из которых ПВО Украины сбило 25. Ни одного сбитого «Кинжала» при этом не предъявлено. Есть лишь комедийный случай, когда мэр Киева Кличко сфотографировался для прессы в обнимку с корпусом советской бетонобойной бомбы, которую объявили «Кинжалом».

Таково доказательство для граждан, прессы, политиков и конкурентов. Никакие честные глаза, ссылки на данные приборов или рассказы расчета не принимаются - слишком велик конфликт интересов. А вот фото сбитых в ходе СВО корпусов и крупногабаритных обломков ракеты США ATACMS (конкурента «Искандер») любой желающий найдет в сети достаточно."
"2025-03-13 14:28:56","Специалисты Черногория 🇲🇪","Дмитрий DiMonTeGarden","🌴 #Уход за зелеными территориями – профессиональные услуги
Здравствуйте! Меня зовут Дмитрий — я профессиональный садовник с многолетним опытом в уходе за зелеными пространствами. Оказываю услуги по обслуживанию в #Черногория, #Босния и #Сербия по следующим направлениям работ:

🌳 Обслуживание садов и зеленых территорий:
Регулярный уход за частными и общественными садами[включая плодовые🍎], парками, скверами и террасами ресторанов и отелей.

🪴 Посадка и уход за растениями:
Комплексный уход за горшечными, вазонными и декоративными уличными растениями.

✂️ Обрезка и стрижка:
Топиарная, санитарная, омолаживающая #обрезка, поллардинг, анкерование — подберу нужный подход для каждого растения.

🖼️ Газоны:
Стрижка, подкормка, пескование, аэрация, скарификация #газонов любого из 10 типов травяного покрытия. 

💧 Системы полива и гидропоника:
Установка и обслуживание систем полива и гидропонных установок для эффективного ухода за растениями.

🍃 Восстановление садов:
Возвращаю сады в надлежащее состояние после деградации и запустения, восстанавливаю эстетичность и функциональность участка.

🌿 Самоподдерживающиеся и малоуходные сады:
Создание садов, которые требуют минимального ухода, с учетом принципов экологического природопользования.

❕Особое внимание к Бонсай и Ниваки:
Работа с частными коллекциями и единичными экземплярами, от создания до регулярного ухода. Индивидуальный подход к каждой коллекции, с учетом потребности деревьев и их особенностей. 

Стоимость работ от 20€

📱Напишите мне для консультации:

+79172979688
WhatsApp | Telegram | Viber


*Консультация по телефону, а так же выезд в Черногории на знакомство с садом — ❗️БЕСПЛАТНО❗️."
"2025-03-13 14:28:46","GPT/ChatGPT/AI Central Александра Горного","GPT/ChatGPT/AI Central Александра Горного","Свой телеграм-канал — это лучшая инвестиция в себя и в свою карьеру

Канал сегодня нужен каждому: для личного бренда, монетизации своих скиллов через консалтинг и запуска собственных продуктов (а размещение рекламы уже сейчас приносит автору канала за 10 минут чью-то *месячную* зарплату)

Ведение своего канала невозможно делегировать: нужно писать самому и искать свой «голос», стиль и подачу через практику. 90% авторов не справляются с этим, и выгорают. Но есть проверенный годами способ натренировать мышцу райтинга и забустить свой канал до первых тысяч подписчиков.

Это легендарный групповой челлендж Content Hero от Вадика Михалева. В нём только за последние полгода поучаствовало уже ~1,000 авторов каналов, и прямо сейчас у него в разгаре новый 40-й набор. Как это работает:

⚡️Собирается группа классных людей: предприниматели, топ-менеджеры, продакты, стартаперы, психологи, коучи, инвесторы, AI-энтузиасты и др.
⚡️Пишут тексты каждый день и отчитываются в чате, иначе — условный “штраф” (спортом или благотворительностью)
⚡️Получают ежедневные уроки на 100 дней по райтингу и продвижению канала
⚡️Параллельно прокачке каналов находят “своих”, партнерятся, запускают продукты, встречаются и растут!

→ Читайте детали, десятки отзывов — по ссылке в посте Вадика (у него самого канал на 10к подписчиков), а если в боте введите слово промокод, а потом aioftheday и вас ждет скидка –1000 рублей. 

Реклама. ИП Бяков Л.А. ИНН: 662342643820, erid: 2W5zFJW18ME"
"2025-03-13 14:24:33","Мама","влад кяуне","а на монитор передала, да, ссылку? 🌚"
"2025-03-13 14:20:42","Learning Experience Collective 🇺🇦 🏳️‍🌈","Татьяна Дорохова","Ну вот и команда набирается"
"2025-03-13 14:19:27","Learning Experience Collective 🇺🇦 🏳️‍🌈","Qatia","короче, в сарай в Патагонии вписываюсь, зови)

у меня есть опыт постройки уличного тувалета)))) не настаиваю, но…"
"2025-03-13 14:17:18","Learning Experience Collective 🇺🇦 🏳️‍🌈","Татьяна Дорохова","да да, оно. Я так провожу редкие отпускные недели иногда — лучшее."
"2025-03-13 14:17:14","Learning Experience Collective 🇺🇦 🏳️‍🌈","Антон Захаров","Точнее я даже маленького формата похожую штуку для людей в образовании делал"
"2025-03-13 14:16:44","Learning Experience Collective 🇺🇦 🏳️‍🌈","Антон Захаров","Я бы с удовольствием такое сделал, но где найти на это деньги... Себестоимость у такой штуки будет огого, оргвзносы получатся офигенными, а образованцы - не айтишники и финансисты, кучу денег вряд ли смогут на такое потратить"
"2025-03-13 14:16:27","Learning Experience Collective 🇺🇦 🏳️‍🌈","Qatia","о, я недавно замечталась и представила, как здорово было бы пожить недельку-другую без времени: без часов и будильников

просыпаться, как получилось, есть, когда захочется, заниматься, чем хочется и когда и как карта легла
удивляться, что уже вечер 🍃🍂"
"2025-03-13 14:15:28","СЕАНС","СЕАНС","[Photo] В прокате драма «Мелочи жизни», где герой Киллиана Мерфи противостоит могущественному католическому монастырю. О новой интерпретации старого сюжета, знакомого зрителям по драмам Стивена Фрирза и Питер Муллана, рассказывает Александра Кузнецова — https://seance.ru/articles/melochi-zhizni-2025/

«Атмосфера фильма определяет героя и определяется существом актера, в котором спокойствие всегда идет рядом с беспокойством, а прочность с хрупкостью. Он — суть этой жестокой, но ненадежной эпохи»"
"2025-03-13 14:15:26","out of homeland","Daria Grach","[Photo] Всем привет! Находила тут прекрасных людей на проекты) У нас в TripleTen LATAM вакансия LX на программу ux/ui дизайна, очень хотим найти человека, который разбирается в дизайне. Откликаться тут"
"2025-03-13 14:15:00","Learning Experience Collective 🇺🇦 🏳️‍🌈","Антон Захаров","[Photo] Еще Адель Шадрина Dacamp делала - https://www.dacamp.ru/post/%D0%B2%D0%B7%D1%80%D0%BE%D1%81%D0%BB%D1%8B%D0%B9-%D0%BB%D0%B0%D0%B3%D0%B5%D1%80%D1%8C-%D0%BD%D0%B8%D0%BA%D0%B0%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B0%D0%BB%D0%BA%D0%BE%D0%B3%D0%BE%D0%BB%D1%8F-%D0%B2%D0%B5%D1%87%D0%B5%D1%80%D0%BD%D0%B8%D0%B9-%D0%BE%D0%B3%D0%BE%D0%BD%D0%B5%D0%BA-%D0%B8-%D0%BC%D0%B0%D1%81%D1%81%D0%B0-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%BE%D0%B2-%D0%BC%D0%B0%D1%80%D0%B8%D1%8F-%D1%81%D0%B5%D0%BC%D0%B5%D0%BD%D0%BE%D0%B2%D0%B0

Я там не был, но Адель классная, поэтому верю, что могло быть хорошо"
"2025-03-13 14:13:02","Learning Experience Collective 🇺🇦 🏳️‍🌈","Olga Artemyeva","Вязать пончо в тишине для желающих, перекридываясь словами раз в полчаса рядом"
"2025-03-13 14:12:01","Learning Experience Collective 🇺🇦 🏳️‍🌈","Татьяна Дорохова","Если нужны примеры форматов, тогда делюсь моим любимым.
Оба проекта разрастаются из кафе до более массовых ивентов и пошли в загородные ретриты тоже.
Один, второй.

Мой идеальный лагерь: ни активностей, ни расписания, ни, прастихоспаде вовлечений, ни обязательного общения. Всегда есть еда в доступе, всегда организованы тихие физические активности и все от меня отъебались. Ну и на природе, желательно. Естественно, ни атома интернета.

Мечтаю купить сарай в Патагонии и сделать там такой ретрит. Бусы перебирать в ведре, смотреть как коза траву ест часа три, следить как жук навозник катит свой шарик в гору. Люди пусть будут, но просто рядом.
Я что, так много прошу?"
"2025-03-13 14:10:46","Learning Experience Collective 🇺🇦 🏳️‍🌈","Яна","Я вообще в восторге как это выглядит"
"2025-03-13 14:08:54","Learning Experience Collective 🇺🇦 🏳️‍🌈","Vita Khan","Организовывала и методичила, да!!!"
"2025-03-13 14:07:16","Learning Experience Collective 🇺🇦 🏳️‍🌈","Яна","Я видела в канале у @vitakhan, что Вита организовывала (или только методичила?..) что-то типа лаборатории для комикс-мейкеров (?)

Думаю что вообще лаборатория для образованцев международная и путешественная это было бы очень классно

Но я сама такое делать не буду)"
"2025-03-13 14:06:30","Meduza Breaking","Meduza Breaking","[Photo] Кремль: Россия не хочет временного перемирия 

https://meduza.io/news/2025/03/13/kreml-rossiya-ne-hochet-vremennogo-peremiriya"
"2025-03-13 14:04:09","better data community","ABCD EFGH","[Media] https://elibrary.ru/keyword_items.asp?id=20871924
https://elibrary.ru/keyword_items.asp?id=7212452
https://elibrary.ru/keyword_items.asp?id=20640080
https://elibrary.ru/keyword_items.asp?id=20871925"
"2025-03-13 14:03:48","Афиша Черногории ☮️ теперь вы знаете, куда пойти! Концерты, выставки, карнавалы в Черногории — openmonte.com","Афиша Черногории ☮️ теперь вы знаете, куда пойти! Концерты, выставки, карнавалы в Черногории — openmonte.com","[Photo] Денис Чужой в Будве 

В пятницу, 23 мая в 19:00, в Будве выступит стендап-комик Денис Чужой с программой Football Manager 2020. 

⚡️ После масштабного тура с программой «Самооценка» Денис возвращается с новым стендапом, который родился… благодаря видеоигре Football Manager 2020. Но не переживайте, стендап не только о ней! Будет набор привычных тем: эмиграция, тревога, отношения — и, конечно, хороший юмор.

⚽️ Про Football Manager 2020 тоже будет. Если вы не играли в эту игру — всё нормально. Специальной подготовки не нужно, Денис всё объяснит.

🐾 Билеты (30€): https://tinyurl.com/rscwabhz 

📍Auditoria (здание Moj Lab, вход — напротив пожарной станции), Будва 

#стендап #будва #черногория #афишачерногории 

——— 
Афиша Черногории   
https://t.me/monteafisha 
Добавить анонс бесплатно: t.me/montecult"
"2025-03-13 14:02:47","Learning Experience Collective 🇺🇦 🏳️‍🌈","Asya","“пишет Антон” — я надеялась, что пишешь ты)))

так, нужно шаг назад сделать


я спрашивала ссылочки на лагеря, чтобы посмотреть кто чего делал/делает на случай, если я соберусь тут что-то сама организовывать
знакомиться с россиянами в Австралии у меня нет потребности, но теоретически можно, особенно если у нас мэтч по ценностям
ехать в лагерь в Европу — вряд ли, потому что мне доехать до Европы стоит много денег и времени, и у меня в такой ситуации приоритет — я любимая и мое наслаждение Европой, а не лагерь)"
"2025-03-13 14:00:43","Learning Experience Collective 🇺🇦 🏳️‍🌈","Антон Захаров","То есть ты не только в Австралии людей ищешь и готова выезжать в условную Европу?"
"2025-03-13 14:00:12","Learning Experience Collective 🇺🇦 🏳️‍🌈","Åliks Belyakova","Ахаха, если что, я в деле)
*в деле, но не в Австралии...*"
"2025-03-13 13:59:41","Learning Experience Collective 🇺🇦 🏳️‍🌈","Alexandra (Sasha)","Ну я конечно не в Австралии😁 но звучит заманчиво 
В таких вещах обычно самое сложное найти достаточно клиентов, с которыми будет мэтч"
"2025-03-13 13:59:37","Дефект Кулешова","Дефект Кулешова","[Photo] Селин Съяма может бойкотировать Поланского, но не готова его забыть!

В поставленном по ее сценарию фильме «Девушки на балконе» (режиссировала и играла одну из главных ролей лучшая французская актриса Ноэми Мерлан) не только пародируется вульгарность «Дворца», но и копируются визуальные шифры из эро-триллеров поляка (и, конечно, из фильмов Хичкока, Пауэлла, Кэрола Рида, Альмодовара и т.д.). 

Герой-насильник тут и вовсе фотограф, а некоторые из сделанных им ню-кадров — меметичные переложения, кхм, «параллельного» творчества Поланского. Забавно, как Съяма из кожи вон лезет, чтобы поддеть старика.

А кино глупое, но до одури веселое. С экрана сыплются цитаты, кровь, половые органы (иногда отдельно от тела, часто в блюре), витальность тех самых «балконеток» — вебкамщицы, писательницы, актрисы. Примерно с середины фильма Мерлан и ко уходят в отрыв, через фем оптику глядя на содомию, зомби и тропы из лент категории-B. Главное — тут какой-то диковинно свободный от предрассудков монтаж, давно такого не видал у французов. 

Выпускают A-One с 27 марта. Развейтесь, если хватает отвязности."
